# Expected column widths from Prettier's own getStringWidth, not from this repository.
#
# Generated by running prettier 3.9.6's src/utilities/get-string-width.js verbatim
# (sha256 37f49dbe5815f5b191c246499e38887b2869eae3c12b4df31c7b5c6bba6802cf) against
# emoji-regex 10.6.0, get-east-asian-width 1.6.0 and narrow-emojis 0.0.3 under Node.
# Because the file is an oracle dump, a line may only be changed by regenerating it
# against a Prettier release - never by writing down what this package currently returns.
#
# Coverage: the worked examples from the #185 width spec, every narrow-emojis code point
# bare and again with U+FE0F, and one representative sequence per emoji-test.txt subgroup
# per qualification status (Unicode emoji 17.0, 2025-08-04). The same generator run over
# every emoji-test.txt sequence, each also embedded in ASCII, doubled, and placed beside
# wide and combining neighbours, produced 20900 cases that all agree with displayWidth;
# that full sweep is development evidence and is deliberately not committed at 860 KiB.
#
# Code points are hex, space separated; an empty field is the empty string.
# width	code points (hex)	description
1	1F3D4	narrow-list U+1F3D4 bare
2	1F3D4 FE0F	narrow-list U+1F3D4 + VS16
1	1F3D5	narrow-list U+1F3D5 bare
2	1F3D5 FE0F	narrow-list U+1F3D5 + VS16
1	1F3D6	narrow-list U+1F3D6 bare
2	1F3D6 FE0F	narrow-list U+1F3D6 + VS16
1	1F3D7	narrow-list U+1F3D7 bare
2	1F3D7 FE0F	narrow-list U+1F3D7 + VS16
1	1F3D8	narrow-list U+1F3D8 bare
2	1F3D8 FE0F	narrow-list U+1F3D8 + VS16
1	1F3D9	narrow-list U+1F3D9 bare
2	1F3D9 FE0F	narrow-list U+1F3D9 + VS16
1	1F3DA	narrow-list U+1F3DA bare
2	1F3DA FE0F	narrow-list U+1F3DA + VS16
1	1F3DB	narrow-list U+1F3DB bare
2	1F3DB FE0F	narrow-list U+1F3DB + VS16
1	1F3DC	narrow-list U+1F3DC bare
2	1F3DC FE0F	narrow-list U+1F3DC + VS16
1	1F3DD	narrow-list U+1F3DD bare
2	1F3DD FE0F	narrow-list U+1F3DD + VS16
1	1F3DE	narrow-list U+1F3DE bare
2	1F3DE FE0F	narrow-list U+1F3DE + VS16
1	1F3DF	narrow-list U+1F3DF bare
2	1F3DF FE0F	narrow-list U+1F3DF + VS16
1	1F3F3	narrow-list U+1F3F3 bare
2	1F3F3 FE0F	narrow-list U+1F3F3 + VS16
1	1F3F5	narrow-list U+1F3F5 bare
2	1F3F5 FE0F	narrow-list U+1F3F5 + VS16
1	1F3F7	narrow-list U+1F3F7 bare
2	1F3F7 FE0F	narrow-list U+1F3F7 + VS16
1	1F43F	narrow-list U+1F43F bare
2	1F43F FE0F	narrow-list U+1F43F + VS16
1	1F441	narrow-list U+1F441 bare
2	1F441 FE0F	narrow-list U+1F441 + VS16
1	1F4FD	narrow-list U+1F4FD bare
2	1F4FD FE0F	narrow-list U+1F4FD + VS16
1	1F549	narrow-list U+1F549 bare
2	1F549 FE0F	narrow-list U+1F549 + VS16
1	1F54A	narrow-list U+1F54A bare
2	1F54A FE0F	narrow-list U+1F54A + VS16
1	1F56F	narrow-list U+1F56F bare
2	1F56F FE0F	narrow-list U+1F56F + VS16
1	1F570	narrow-list U+1F570 bare
2	1F570 FE0F	narrow-list U+1F570 + VS16
1	1F573	narrow-list U+1F573 bare
2	1F573 FE0F	narrow-list U+1F573 + VS16
1	1F576	narrow-list U+1F576 bare
2	1F576 FE0F	narrow-list U+1F576 + VS16
1	1F577	narrow-list U+1F577 bare
2	1F577 FE0F	narrow-list U+1F577 + VS16
1	1F578	narrow-list U+1F578 bare
2	1F578 FE0F	narrow-list U+1F578 + VS16
1	1F579	narrow-list U+1F579 bare
2	1F579 FE0F	narrow-list U+1F579 + VS16
1	1F587	narrow-list U+1F587 bare
2	1F587 FE0F	narrow-list U+1F587 + VS16
1	1F58A	narrow-list U+1F58A bare
2	1F58A FE0F	narrow-list U+1F58A + VS16
1	1F58B	narrow-list U+1F58B bare
2	1F58B FE0F	narrow-list U+1F58B + VS16
1	1F58C	narrow-list U+1F58C bare
2	1F58C FE0F	narrow-list U+1F58C + VS16
1	1F58D	narrow-list U+1F58D bare
2	1F58D FE0F	narrow-list U+1F58D + VS16
1	1F5A5	narrow-list U+1F5A5 bare
2	1F5A5 FE0F	narrow-list U+1F5A5 + VS16
1	1F5A8	narrow-list U+1F5A8 bare
2	1F5A8 FE0F	narrow-list U+1F5A8 + VS16
1	1F5B1	narrow-list U+1F5B1 bare
2	1F5B1 FE0F	narrow-list U+1F5B1 + VS16
1	1F5B2	narrow-list U+1F5B2 bare
2	1F5B2 FE0F	narrow-list U+1F5B2 + VS16
1	1F5BC	narrow-list U+1F5BC bare
2	1F5BC FE0F	narrow-list U+1F5BC + VS16
1	1F5C2	narrow-list U+1F5C2 bare
2	1F5C2 FE0F	narrow-list U+1F5C2 + VS16
1	1F5C3	narrow-list U+1F5C3 bare
2	1F5C3 FE0F	narrow-list U+1F5C3 + VS16
1	1F5C4	narrow-list U+1F5C4 bare
2	1F5C4 FE0F	narrow-list U+1F5C4 + VS16
1	1F5D1	narrow-list U+1F5D1 bare
2	1F5D1 FE0F	narrow-list U+1F5D1 + VS16
1	1F5D2	narrow-list U+1F5D2 bare
2	1F5D2 FE0F	narrow-list U+1F5D2 + VS16
1	1F5D3	narrow-list U+1F5D3 bare
2	1F5D3 FE0F	narrow-list U+1F5D3 + VS16
1	1F5DC	narrow-list U+1F5DC bare
2	1F5DC FE0F	narrow-list U+1F5DC + VS16
1	1F5DD	narrow-list U+1F5DD bare
2	1F5DD FE0F	narrow-list U+1F5DD + VS16
